Word,WordRaw,British,American,MeaningRaw,Book,Grade,Semester,SourceFile,SourceRow
yellow,yellow,[ˈjeləʊ],[ˈjeloʊ],"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄",1年级上,1,上,人教版一年级起点一年级上.xlsx,41
blue,blue,[bluː],[bluː],"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于",1年级上,1,上,人教版一年级起点一年级上.xlsx,42
red,red,[red],[red],"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的",1年级上,1,上,人教版一年级起点一年级上.xlsx,43
green,green,[ɡriːn],[ɡriːn],"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色",1年级上,1,上,人教版一年级起点一年级上.xlsx,44
colour,colour,[ˈkʌlə(r)],[ˈkʌlər],"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色",1年级上,1,上,人教版一年级起点一年级上.xlsx,45
apple,apple,[ˈæp(ə)l],[ˈæpl],n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,1年级上,1,上,人教版一年级起点一年级上.xlsx,46
pear,pear,[peə(r)],[per],n. [园艺] 梨树；梨子,1年级上,1,上,人教版一年级起点一年级上.xlsx,47
banana,banana,[bəˈnɑːnə],[bəˈnænə],n. 香蕉；喜剧演员；大鹰钩鼻,1年级上,1,上,人教版一年级起点一年级上.xlsx,48
orange,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],"adj. 橙色的；橘色的
n. 橙；橙色；桔子",1年级上,1,上,人教版一年级起点一年级上.xlsx,49
do,do,[duː; də; du; dəʊ],[duː; də; du; doʊ],"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情",1年级上,1,上,人教版一年级起点一年级上.xlsx,50
you,you,[ju],[juː; jə],pron. 你；你们,1年级上,1,上,人教版一年级起点一年级上.xlsx,51
like,like,[laɪk],[laɪk],"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",1年级上,1,上,人教版一年级起点一年级上.xlsx,52
yes,yes,[jes],[jes],"n. 是（表示肯定）
adv. 是, 是的",1年级上,1,上,人教版一年级起点一年级上.xlsx,53
no,no,[nəʊ],[noʊ],"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号",1年级上,1,上,人教版一年级起点一年级上.xlsx,54
chair,chair,[tʃeə(r)],[tʃer],"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职",1年级下,1,下,人教版一年级起点一年级下.xlsx,2
desk,desk,[desk],[desk],"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的",1年级下,1,下,人教版一年级起点一年级下.xlsx,3
blackboard,blackboard,[ˈblækbɔːd],[ˈblækbɔːrd],n. 黑板,1年级下,1,下,人教版一年级起点一年级下.xlsx,4
on,on,[ɒn],[ɑːn],"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中",1年级下,1,下,人教版一年级起点一年级下.xlsx,5
under,under,[ˈʌndə(r)],[ˈʌndər],"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方",1年级下,1,下,人教版一年级起点一年级下.xlsx,6
in,in,[ɪn],[ɪn],"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里",1年级下,1,下,人教版一年级起点一年级下.xlsx,7
where,where,[weə(r)],[wer],"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里",1年级下,1,下,人教版一年级起点一年级下.xlsx,8
the,the,[ðə],[ðə; ði; ðiː],"art. 这；那
adv. 更加（用于比较级，最高级前）",1年级下,1,下,人教版一年级起点一年级下.xlsx,9
light,light,[laɪt],[laɪt],"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地",1年级下,1,下,人教版一年级起点一年级下.xlsx,10
bed,bed,[bed],[bed],"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层",1年级下,1,下,人教版一年级起点一年级下.xlsx,11
door,door,[dɔː(r)],[dɔːr],n. 门；家，户；门口；通道,1年级下,1,下,人教版一年级起点一年级下.xlsx,12
box,box,[bɒks],[bɑːks],"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击",1年级下,1,下,人教版一年级起点一年级下.xlsx,13
near,near,[nɪə(r)],[nɪr],"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于",1年级下,1,下,人教版一年级起点一年级下.xlsx,14
behind,behind,[bɪˈhaɪnd],[bɪˈhaɪnd],"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处",1年级下,1,下,人教版一年级起点一年级下.xlsx,15
plane,plane,[pleɪn],[pleɪn],"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔",1年级下,1,下,人教版一年级起点一年级下.xlsx,16
ball,ball,[bɔːl],[bɔːl],"n. 球；舞会
vt. 捏成球形
vi. 成团块",1年级下,1,下,人教版一年级起点一年级下.xlsx,17
doll,doll,[dɒl],[dɑːl],"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展",1年级下,1,下,人教版一年级起点一年级下.xlsx,18
train,train,[treɪn],[treɪn],"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准",1年级下,1,下,人教版一年级起点一年级下.xlsx,19
car,car,[kɑː(r)],[kɑːr],n. 汽车；车厢,1年级下,1,下,人教版一年级起点一年级下.xlsx,20
bear,bear,[beə(r)],[ber],"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑",1年级下,1,下,人教版一年级起点一年级下.xlsx,21
can,can,[kən; kæn],[kən; kæn],"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存",1年级下,1,下,人教版一年级起点一年级下.xlsx,22
sure,sure,[ʃʊə(r)],[ʃʊr],"adj. 确信的；可靠的；必定的
adv. 当然；的确",1年级下,1,下,人教版一年级起点一年级下.xlsx,23
sorry,sorry,[ˈsɒri],[ˈsɑːri],"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）",1年级下,1,下,人教版一年级起点一年级下.xlsx,24
rice,rice,[raɪs],[raɪs],"n. 稻；米饭
vt. 把…捣成米糊状",1年级下,1,下,人教版一年级起点一年级下.xlsx,25
noodles,noodles,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],n. 面条，挂面（noodle的复数形式),1年级下,1,下,人教版一年级起点一年级下.xlsx,26
vegetable,vegetable,[ˈvedʒtəb(ə)l],[ˈvedʒtəbl],"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的",1年级下,1,下,人教版一年级起点一年级下.xlsx,27
fish,fish,[fɪʃ],[fɪʃ],"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取",1年级下,1,下,人教版一年级起点一年级下.xlsx,28
chicken,chicken,[ˈtʃɪkɪn],[ˈtʃɪkɪn],"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的",1年级下,1,下,人教版一年级起点一年级下.xlsx,29
egg,egg,[eɡ],[eɡ],"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿",1年级下,1,下,人教版一年级起点一年级下.xlsx,30
hungry,hungry,[ˈhʌŋɡri],[ˈhʌŋɡri],adj. 饥饿的；渴望的；荒年的；不毛的,1年级下,1,下,人教版一年级起点一年级下.xlsx,31
want,want,[wɒnt],[wɑːnt],"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少",1年级下,1,下,人教版一年级起点一年级下.xlsx,32
and,and,[ənd],[ənd; ən; n; ænd],conj. 和，与；就；而且；但是；然后,1年级下,1,下,人教版一年级起点一年级下.xlsx,33
juice,juice,[dʒuːs],[dʒuːs],n. （水果）汁，液；果汁,1年级下,1,下,人教版一年级起点一年级下.xlsx,34
tea,tea,[tiː],[tiː],"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点",1年级下,1,下,人教版一年级起点一年级下.xlsx,35
milk,milk,[mɪlk],[mɪlk],"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶",1年级下,1,下,人教版一年级起点一年级下.xlsx,36
water,water,[ˈwɔːtə(r)],[ˈwɔːtər],"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水",1年级下,1,下,人教版一年级起点一年级下.xlsx,37
thirsty,thirsty,[ˈθɜːsti],[ˈθɜːrsti],adj. 口渴的，口干的；渴望的，热望的,1年级下,1,下,人教版一年级起点一年级下.xlsx,38
thanks,thanks,[θæŋks],[θæŋks],"n. 谢谢（只用复数）
int. 谢谢",1年级下,1,下,人教版一年级起点一年级下.xlsx,39
shirt,shirt,[ʃɜːt],[ʃɜːrt],n. 衬衫；汗衫，内衣,1年级下,1,下,人教版一年级起点一年级下.xlsx,40
T-shirt,T-shirt,[ˈtiː ʃɜːt],[ˈtiː ʃɜːrt],n. 短袖圆领汗衫,1年级下,1,下,人教版一年级起点一年级下.xlsx,41
skirt,skirt,[skɜːt],[skɜːrt],"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕",1年级下,1,下,人教版一年级起点一年级下.xlsx,42
dress,dress,[dres],[dres],"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣",1年级下,1,下,人教版一年级起点一年级下.xlsx,43
socks,socks,[sɒks],[sɑːks],n. 袜子（sock的复数）,1年级下,1,下,人教版一年级起点一年级下.xlsx,44
shorts,shorts,[ʃɔːts],[ʃɔːrts],n. 短裤,1年级下,1,下,人教版一年级起点一年级下.xlsx,45
your,your,[jɔː(r); jə(r)],[jʊr; jər],pron. 你的，你们的,1年级下,1,下,人教版一年级起点一年级下.xlsx,46
father,father,[ˈfɑːðə(r)],[ˈfɑːðər],"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲",2年级上,2,上,人教版一年级起点二年级上.xlsx,2
mother,mother,[ˈmʌðə(r)],[ˈmʌðər],"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的",2年级上,2,上,人教版一年级起点二年级上.xlsx,3
brother,brother,[ˈbrʌðə(r)],[ˈbrʌðər],"n. 兄弟；同事；战友
int. 我的老兄！",2年级上,2,上,人教版一年级起点二年级上.xlsx,4
sister,sister,[ˈsɪstə(r)],[ˈsɪstər],"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的",2年级上,2,上,人教版一年级起点二年级上.xlsx,5
grandmother,grandmother,[ˈɡrænmʌðə(r)],[ˈɡrænmʌðər],"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母",2年级上,2,上,人教版一年级起点二年级上.xlsx,6
grandfather,grandfather,[ˈɡrænfɑːðə(r)],[ˈɡrænfɑːðər],"n. 祖父；始祖
vt. 不受新规定限制",2年级上,2,上,人教版一年级起点二年级上.xlsx,7
who,who,[huː],[huː],pron. 谁；什么人,2年级上,2,上,人教版一年级起点二年级上.xlsx,8
he,he,[hi; iː; i; hiː],[hi; iː; i; hiː],"n. 男孩，男人；它（雄性动物）
pron. 他",2年级上,2,上,人教版一年级起点二年级上.xlsx,9
she,she,[ʃi],[ʃi; ʃiː],"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）",2年级上,2,上,人教版一年级起点二年级上.xlsx,10
classmate,classmate,[ˈklɑːsmeɪt],[ˈklæsmeɪt],n. 同班同学,2年级上,2,上,人教版一年级起点二年级上.xlsx,11
friend,friend,[frend],[frend],n. 朋友；助手；赞助者,2年级上,2,上,人教版一年级起点二年级上.xlsx,12
woman,woman,[ˈwʊmən],[ˈwʊmən],n. 妇女；女性；成年女子,2年级上,2,上,人教版一年级起点二年级上.xlsx,13
girl,girl,[ɡɜːl],[ɡɜːrl],"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔",2年级上,2,上,人教版一年级起点二年级上.xlsx,14
man,man,[mæn],[mæn],"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位",2年级上,2,上,人教版一年级起点二年级上.xlsx,15
boy,boy,[bɔɪ],[bɔɪ],n. 男孩；男人,2年级上,2,上,人教版一年级起点二年级上.xlsx,16
look,look,[lʊk],[lʊk],"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容",2年级上,2,上,人教版一年级起点二年级上.xlsx,17
his,his,[hɪz],[hɪz; ɪz],pron. 他的,2年级上,2,上,人教版一年级起点二年级上.xlsx,18
name,name,[neɪm],[neɪm],"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的",2年级上,2,上,人教版一年级起点二年级上.xlsx,19
her,her,[hə(r)],[hər; ɜːr; ər; hɜːr],pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）,2年级上,2,上,人教版一年级起点二年级上.xlsx,20
or,or,[ɔː(r)],[ɔːr],conj. 或，或者；还是,2年级上,2,上,人教版一年级起点二年级上.xlsx,21
big,big,[bɪɡ],[bɪɡ],"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地",2年级上,2,上,人教版一年级起点二年级上.xlsx,22
tall,tall,[tɔːl],[tɔːl],"adj. 高的；长的；过分的；夸大的
adv. 夸大地",2年级上,2,上,人教版一年级起点二年级上.xlsx,23
pretty,pretty,[ˈprɪti],[ˈprɪti],"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇",2年级上,2,上,人教版一年级起点二年级上.xlsx,24
thin,thin,[θɪn],[θɪn],"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地",2年级上,2,上,人教版一年级起点二年级上.xlsx,25
short,short,[ʃɔːt],[ʃɔːrt],"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地",2年级上,2,上,人教版一年级起点二年级上.xlsx,26
handsome,handsome,[ˈhænsəm],[ˈhænsəm],adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的,2年级上,2,上,人教版一年级起点二年级上.xlsx,27
new,new,[njuː],[nuː],"adj. 新的，新鲜的；更新的；初见的
adv. 新近",2年级上,2,上,人教版一年级起点二年级上.xlsx,28
does,does,[dʌz],[dʌz],v. 做；工作；有用（do的第三人称单数形式）,2年级上,2,上,人教版一年级起点二年级上.xlsx,29
bookshop,bookshop,[ˈbʊkʃɒp],[ˈbʊkʃɑːp],n. 书店,2年级上,2,上,人教版一年级起点二年级上.xlsx,30
zoo,zoo,[zuː],[zuː],n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园,2年级上,2,上,人教版一年级起点二年级上.xlsx,31
school,school,[skuːl],[skuːl],"n. 学校；学院；学派；鱼群
vt. 教育",2年级上,2,上,人教版一年级起点二年级上.xlsx,32
supermarket,supermarket,[ˈsuːpəmɑːkɪt],[ˈsuːpərmɑːrkɪt],n. 超级市场；自助售货商店,2年级上,2,上,人教版一年级起点二年级上.xlsx,33
park,park,[pɑːk],[pɑːrk],"n. 公园；[交] 停车场
vt. 停放；放置；寄存
vi. 停放车辆",2年级上,2,上,人教版一年级起点二年级上.xlsx,34
hospital,hospital,[ˈhɒspɪt(ə)l],[ˈhɑːspɪtl],n. 医院,2年级上,2,上,人教版一年级起点二年级上.xlsx,35
go,go,[ɡəʊ],[ɡoʊ],"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
[复数 goes 第三人称单数 goes 过去式 went 过去分词 gone 现在分词 going]",2年级上,2,上,人教版一年级起点二年级上.xlsx,36
to,to,[tə],[tə; tu; tuː],"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上",2年级上,2,上,人教版一年级起点二年级上.xlsx,37
grass,grass,[ɡrɑːs],[ɡræs],"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草",2年级上,2,上,人教版一年级起点二年级上.xlsx,38
tree,tree,[triː],[triː],"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树",2年级上,2,上,人教版一年级起点二年级上.xlsx,39
flower,flower,[ˈflaʊə(r)],[ˈflaʊər],"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛",2年级上,2,上,人教版一年级起点二年级上.xlsx,40
boat,boat,[bəʊt],[boʊt],"n. 小船；轮船
vi. 划船",2年级上,2,上,人教版一年级起点二年级上.xlsx,41
lake,lake,[leɪk],[leɪk],"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解",2年级上,2,上,人教版一年级起点二年级上.xlsx,42
hill,hill,[hɪl],[hɪl],n. 小山；丘陵；斜坡；山冈,2年级上,2,上,人教版一年级起点二年级上.xlsx,43
Christmas,Christmas,[ˈkrɪsməs],[ˈkrɪsməs],n. 圣诞节；圣诞节期间,2年级上,2,上,人教版一年级起点二年级上.xlsx,44
Father Christmas,Father Christmas,,,na. 圣诞老人,2年级上,2,上,人教版一年级起点二年级上.xlsx,45
Christmas tree,Christmas tree,[ˈkrɪsməs triː],[ˈkrɪsməs triː],n. 【节】圣诞树,2年级上,2,上,人教版一年级起点二年级上.xlsx,46
card,card,[kɑːd],[kɑːrd],"n. 卡片；纸牌；明信片
vt. 记于卡片上",2年级上,2,上,人教版一年级起点二年级上.xlsx,47
present,present,[ˈprez(ə)nt],[ˈpreznt],"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准",2年级上,2,上,人教版一年级起点二年级上.xlsx,48
New Year,New Year,,,n. 新年,2年级上,2,上,人教版一年级起点二年级上.xlsx,49
merry,merry,[ˈmeri],[ˈmeri],"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃",2年级上,2,上,人教版一年级起点二年级上.xlsx,50
too,too,[tuː],[tuː],adv. 太；也；很；还；非常；过度,2年级上,2,上,人教版一年级起点二年级上.xlsx,51
here,here,[hɪə(r)],[hɪr],"n. 这里
adv. 在这里；此时
int. 嘿！；喂！",2年级上,2,上,人教版一年级起点二年级上.xlsx,52
for,for,[fə(r)],[fər; fɔːr],"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为",2年级上,2,上,人教版一年级起点二年级上.xlsx,53
thank,thank,[θæŋk],[θæŋk],"n. 感谢
vt. 感谢
int. 谢谢",2年级上,2,上,人教版一年级起点二年级上.xlsx,54
happy,happy,[ˈhæpi],[ˈhæpi],adj. 幸福的；高兴的；巧妙的,2年级上,2,上,人教版一年级起点二年级上.xlsx,55
play football,play football,,,na. 踢足球；对难办的事采取踢皮球的态度,2年级下,2,下,人教版一年级起点二年级下.xlsx,2
fly a kite,fly a kite,,,na. 放风筝；试探舆论；开空头支票；〈美〉(从狱中)非法寄出信件,2年级下,2,下,人教版一年级起点二年级下.xlsx,3
ride a bike,ride a bike,,,骑自行车；骑车；骑单车,2年级下,2,下,人教版一年级起点二年级下.xlsx,4
make a model plane,make a model plane,,,无,2年级下,2,下,人教版一年级起点二年级下.xlsx,5
swim,swim,[swɪm],[swɪm],"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起",2年级下,2,下,人教版一年级起点二年级下.xlsx,6
make a snowman,make a snowman,,,堆雪人；做雪人；堆一个雪人,2年级下,2,下,人教版一年级起点二年级下.xlsx,7
can't,can't,,,abbr. 不能（can not）,2年级下,2,下,人教版一年级起点二年级下.xlsx,8
rainy,rainy,[ˈreɪni],[ˈreɪni],adj. 下雨的；多雨的,2年级下,2,下,人教版一年级起点二年级下.xlsx,9
cloudy,cloudy,[ˈklaʊdi],[ˈklaʊdi],adj. 多云的；阴天的；愁容满面的,2年级下,2,下,人教版一年级起点二年级下.xlsx,10
snowy,snowy,[ˈsnəʊi],[ˈsnoʊi],adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的,2年级下,2,下,人教版一年级起点二年级下.xlsx,11
